path,label
Dataset\Melanoma\ISIC_6908183.jpg,1
Dataset\Tinea\v-tinea-face-2.jpg,1
Dataset\Tinea\t-tinea-laboratory-7.jpg,1
Dataset\Melanoma\ISIC_7430054.jpg,1
Dataset\Tinea\t-intertrigo-3.jpg,1
Dataset\Tinea\t-tinea-foot-webs-18.jpg,1
Dataset\Melanoma\ISIC_7047391.jpg,1
Dataset\Tinea\v-tinea-body-161.jpg,1
Dataset\Melanoma\ISIC_6973830.jpg,1
Dataset\Melanoma\ISIC_6721869.jpg,1
Dataset\random\n02782093_balloon.JPEG,0
Dataset\Melanoma\ISIC_7156715.jpg,1
Dataset\Melanoma\ISIC_6781665.jpg,1
Dataset\Melanoma\ISIC_7299859.jpg,1
Dataset\Melanoma\ISIC_6686271.jpg,1
Dataset\Tinea\0_9.jpg,1
Dataset\Tinea\t-tinea-scalp-10.jpg,1
Dataset\random\n02804610_bassoon.JPEG,0
Dataset\Melanoma\ISIC_6830132.jpg,1
Dataset\Tinea\t-tinea-primary-lesion-51.jpg,1
Dataset\Tinea\v-candidiasis-large-skin-folds-121.jpg,1
Dataset\Melanoma\ISIC_7128535.jpg,1
Dataset\Tinea\t-confluent-reticulate-papillomatosis-1.jpg,1
Dataset\Tinea\t-majocchi-granuloma-1.jpg,1
Dataset\Melanoma\ISIC_7014368.jpg,1
Dataset\Melanoma\ISIC_7050328.jpg,1
Dataset\Tinea\t-erosio-interdigitalis-blastomycetica-26.jpg,1
Dataset\Melanoma\ISIC_7505633.jpg,1
Dataset\Melanoma\ISIC_6807108.jpg,1
Dataset\random\n04069434_reflex_camera.JPEG,0
Dataset\Melanoma\ISIC_7534226.jpg,1
Dataset\Tinea\v-candidiasis-large-skin-folds-115.jpg,1
Dataset\Tinea\t-tinea-border-2.jpg,1
Dataset\Tinea\t-candidiasis-large-skin-folds-95.jpg,1
Dataset\Melanoma\ISIC_6954577.jpg,1
Dataset\Melanoma\ISIC_6901340.jpg,1
Dataset\Tinea\v-tinea-body-127.jpg,1
Dataset\Melanoma\ISIC_7169653.jpg,1
Dataset\Tinea\v-tinea-incognito-5.jpg,1
Dataset\Melanoma\ISIC_7440448.jpg,1
Dataset\random\n04049303_rain_barrel.JPEG,0
Dataset\Tinea\t-tinea-primary-lesion-22.jpg,1
Dataset\Tinea\t-candidiasis-large-skin-folds-129.jpg,1
Dataset\Tinea\t-tinea-foot-dorsum-23.jpg,1
Dataset\Tinea\t-13tineaCorporis0609010.jpg,1
Dataset\random\000000161974_jpg.rf.1fd3cc43ca4f9702658b9c11842271d0.jpg,0
Dataset\Tinea\t-intertrigo-50.jpg,1
Dataset\random\n04591713_wine_bottle.JPEG,0
Dataset\Melanoma\ISIC_6666623.jpg,1
Dataset\Tinea\6_21.jpg,1
Dataset\Melanoma\ISIC_7380175.jpg,1
