path,label
Dataset\Tinea\t-tinea-scalp-18.jpg,1
Dataset\Tinea\v-pitted-keratolysis-3.jpg,1
Dataset\Melanoma\ISIC_7571140.jpg,0
Dataset\Melanoma\ISIC_7225320.jpg,0
Dataset\Melanoma\ISIC_6661073.jpg,0
Dataset\Melanoma\ISIC_7244873.jpg,0
Dataset\Melanoma\ISIC_7250007.jpg,0
Dataset\Tinea\t-tinea-scalp-20.jpg,1
Dataset\Tinea\t-pityrosporum-folliculitis-9.jpg,1
Dataset\Melanoma\ISIC_6874981.jpg,0
Dataset\Melanoma\ISIC_7330573.jpg,0
Dataset\Tinea\v-tinea-body-192.jpg,1
Dataset\Melanoma\ISIC_7418720.jpg,0
Dataset\Tinea\t-tinea-groin-82.jpg,1
Dataset\Tinea\t-perleche-24.jpg,1
Dataset\Tinea\t-candidiasis-large-skin-folds-17.jpg,1
Dataset\Melanoma\ISIC_6728496.jpg,0
Dataset\Melanoma\ISIC_7315685.jpg,0
Dataset\Melanoma\ISIC_7535412.jpg,0
Dataset\Tinea\t-tinea-incognito-9.jpg,1
Dataset\Melanoma\ISIC_6983347.jpg,0
Dataset\Melanoma\ISIC_7236842.jpg,0
Dataset\Melanoma\ISIC_6866526.jpg,0
Dataset\Tinea\v-tinea-hand-dorsum-6.jpg,1
Dataset\Melanoma\ISIC_7388369.jpg,0
Dataset\Melanoma\ISIC_7126274.jpg,0
Dataset\Melanoma\ISIC_7084112.jpg,0
Dataset\Melanoma\ISIC_6816081.jpg,0
Dataset\Melanoma\ISIC_7001063.jpg,0
Dataset\Tinea\t-tinea-groin-71.jpg,1
Dataset\Tinea\t-tinea-incognito-19.jpg,1
Dataset\Melanoma\ISIC_6988514.jpg,0
Dataset\Melanoma\ISIC_7494699.jpg,0
Dataset\Melanoma\ISIC_7418932.jpg,0
Dataset\Melanoma\ISIC_7454487.jpg,0
Dataset\Melanoma\ISIC_6814382.jpg,0
Dataset\Melanoma\ISIC_7409797.jpg,0
Dataset\Melanoma\ISIC_6734262.jpg,0
Dataset\Tinea\t-candidiasis-large-skin-folds-154.jpg,1
Dataset\Melanoma\ISIC_7210119.jpg,0
Dataset\Melanoma\ISIC_7335785.jpg,0
Dataset\Tinea\t-candidiasis-diaper-27.jpg,1
Dataset\Melanoma\ISIC_6964131.jpg,0
Dataset\Melanoma\ISIC_6969393.jpg,0
Dataset\Melanoma\ISIC_7014368.jpg,0
Dataset\Tinea\t-intertrigo-54.jpg,1
Dataset\Tinea\t-tinea-hand-dorsum-16.jpg,1
Dataset\Tinea\t-erythrasma-15.jpg,1
Dataset\Melanoma\ISIC_6912233.jpg,0
Dataset\Tinea\t-tinea-foot-webs-73.jpg,1
Dataset\Melanoma\ISIC_7551564.jpg,0
Dataset\Melanoma\ISIC_7013549.jpg,0
Dataset\Melanoma\ISIC_6966105.jpg,0
Dataset\Melanoma\ISIC_6895248.jpg,0
Dataset\Melanoma\ISIC_7560495.jpg,0
Dataset\Tinea\t-candida-penis-26.jpg,1
Dataset\Melanoma\ISIC_7068548.jpg,0
Dataset\Melanoma\ISIC_6685532.jpg,0
Dataset\Melanoma\ISIC_7117554.jpg,0
Dataset\Melanoma\ISIC_7073459.jpg,0
Dataset\Tinea\t-tinea-versicolor-153.jpg,1
Dataset\Tinea\t-tinea-laboratory-13.jpg,1
Dataset\Melanoma\ISIC_7333167.jpg,0
Dataset\Tinea\t-tinea-body-98.jpg,1
Dataset\Melanoma\ISIC_7015694.jpg,0
Dataset\Tinea\v-perleche-7.jpg,1
Dataset\Melanoma\ISIC_7569912.jpg,0
Dataset\Melanoma\ISIC_7295035.jpg,0
Dataset\Melanoma\ISIC_6787097.jpg,0
Dataset\Melanoma\ISIC_6770630.jpg,0
Dataset\Tinea\t-tinea-primary-lesion-13.jpg,1
Dataset\Melanoma\ISIC_7453895.jpg,0
Dataset\Melanoma\ISIC_7071213.jpg,0
Dataset\Tinea\v-tinea-foot-plantar-36.jpg,1
Dataset\Melanoma\ISIC_7020131.jpg,0
Dataset\Melanoma\ISIC_6808543.jpg,0
Dataset\Tinea\t-intertrigo-65.jpg,1
Dataset\Melanoma\ISIC_6668308.jpg,0
Dataset\Melanoma\ISIC_6731470.jpg,0
Dataset\Melanoma\ISIC_7530414.jpg,0
Dataset\Tinea\t-tinea-body-95.jpg,1
Dataset\Melanoma\ISIC_6890421.jpg,0
Dataset\Tinea\t-tinea-hand-dorsum-55.jpg,1
Dataset\Tinea\t-tinea-foot-webs-28.jpg,1
Dataset\Melanoma\ISIC_6672654.jpg,0
Dataset\Melanoma\ISIC_7354733.jpg,0
Dataset\Tinea\4_48.jpg,1
Dataset\Melanoma\ISIC_7216772.jpg,0
Dataset\Tinea\v-tinea-body-9.jpg,1
Dataset\Tinea\v-tinea-hand-dorsum-21.jpg,1
Dataset\Tinea\v-tinea-versicolor-159.jpg,1
Dataset\Tinea\t-tinea-foot-dorsum-51.jpg,1
Dataset\Tinea\t-candidiasis-large-skin-folds-86.jpg,1
Dataset\Melanoma\ISIC_7518447.jpg,0
Dataset\Melanoma\ISIC_7086611.jpg,0
Dataset\Tinea\t-erosio-interdigitalis-blastomycetica-37.jpg,1
Dataset\Melanoma\ISIC_7204331.jpg,0
Dataset\Tinea\t-intertrigo-69.jpg,1
Dataset\Melanoma\ISIC_7288846.jpg,0
Dataset\Melanoma\ISIC_7590008.jpg,0
Dataset\Melanoma\ISIC_7559729.jpg,0
Dataset\Melanoma\ISIC_6718969.jpg,0
Dataset\Tinea\v-tinea-foot-webs-30.jpg,1
Dataset\Tinea\v-tinea-groin-53.jpg,1
Dataset\Melanoma\ISIC_6922473.jpg,0
Dataset\Melanoma\ISIC_7053159.jpg,0
Dataset\Tinea\t-13Fissure0426041.jpg,1
Dataset\Melanoma\ISIC_7571378.jpg,0
Dataset\Melanoma\ISIC_7167947.jpg,0
Dataset\Melanoma\ISIC_7353425.jpg,0
Dataset\Melanoma\ISIC_7483552.jpg,0
Dataset\Tinea\4_79.jpg,1
Dataset\Melanoma\ISIC_7154859.jpg,0
Dataset\Melanoma\ISIC_7114356.jpg,0
Dataset\Melanoma\ISIC_7477061.jpg,0
Dataset\Melanoma\ISIC_7207715.jpg,0
Dataset\Tinea\t-erosio-interdigitalis-blastomycetica-30.jpg,1
Dataset\Tinea\t-tinea-scalp-6.jpg,1
Dataset\Tinea\v-coccidiomycosis-4.jpg,1
Dataset\Melanoma\ISIC_6715897.jpg,0
Dataset\Melanoma\ISIC_6683956.jpg,0
Dataset\Melanoma\ISIC_7438349.jpg,0
Dataset\Tinea\t-tinea-incognito-55.jpg,1
Dataset\Tinea\t-erosio-interdigitalis-blastomycetica-16.jpg,1
